
alpha=0.5: prediction (alpha/pi^2)^alpha = 0.22508
     n    n^a lam    ratio  d log y/d log log n
   128    1.06875   2.1556                  nan
   256    1.09734   2.0704                0.198
   512    1.12385   1.9991                0.203
  1024    1.14872   1.9385                0.208
  2048    1.17230   1.8862                0.213
  4096    1.19479   1.8406                0.218

alpha=2.0: prediction (alpha/pi^2)^alpha = 0.04106
     n    n^a lam    ratio  d log y/d log log n
   128    4.11775   4.2594                  nan
   256    4.83780   3.8314                1.207
   512    5.60029   3.5044                1.243
  1024    6.40674   3.2473                1.277
  2048    7.25818   3.0404                1.309
  4096    8.15529   2.8706                1.339
