n,method,pi_minus_norm,lambda_min,lambda_min_n_over_log_n,gap_n_over_log_n
16,dense,4.452523689162162e-01,7.086411543639198e-02,0.4089412317,2.5694535383
32,dense,2.457544785591059e-01,3.911304004965292e-02,0.3611404090,2.2691121120
64,dense,1.335382627654056e-01,2.125327461101869e-02,0.3270612681,2.0549865542
128,dense,7.179758754447807e-02,1.142694095977678e-02,0.3014508079,1.8940712868
256,dense,3.831020772638016e-02,6.097258930530724e-03,0.2814875271,1.7686382945
256,lanczos,3.831020772636817e-02,6.097258930528816e-03,0.2814875271,1.7686382945
512,dense,2.032475594914640e-02,3.234785376443056e-03,0.2654895685,1.6681201559
512,lanczos,2.032475594914107e-02,3.234785376442209e-03,0.2654895685,1.6681201559
1024,dense,1.073409846485962e-02,1.708384830317534e-03,0.2523830602,1.5857695359
1024,lanczos,1.073409846486717e-02,1.708384830318735e-03,0.2523830602,1.5857695359
2048,dense,5.647958553023802e-03,8.989005220918868e-04,0.2414479035,1.5170619198
2048,lanczos,5.647958553032240e-03,8.989005220932297e-04,0.2414479035,1.5170619198
4096,dense,2.962490691778008e-03,4.714950374601985e-04,0.2321829725,1.4588486416
4096,lanczos,2.962490691779340e-03,4.714950374604106e-04,0.2321829725,1.4588486416
8192,lanczos,1.549710922955860e-03,2.466441537519286e-04,0.2242290908,1.4088729290
16384,lanczos,8.087570121726451e-04,1.287176762475086e-04,0.2173224705,1.3654773535
32768,lanczos,4.211868868675417e-04,6.703397501045615e-05,0.2112653084,1.3274190817
65536,lanczos,2.189351876089596e-04,3.484461732471739e-05,0.2059065615,1.2937490819
131072,lanczos,1.136106524457503e-04,1.808169692463649e-05,0.2011290163,1.2637308798
262144,lanczos,5.886431804436043e-05,9.368547188493412e-06,0.1968403844,1.2367846110
