n,alpha,log10_t,mu,ell_alpha
120,0.5,-35.5,5.649740427838365e-38,3.246411545084932
120,0.5,-34.0,1.798420015820575e-36,3.183618898018821
120,0.5,-32.5,5.697674820718391e-35,3.1199620629974594
120,0.5,-31.0,1.8036088982021958e-33,3.0553102440781768
120,0.5,-29.5,5.744896935515591e-32,2.989455231434749
120,0.5,-28.0,1.859473652640346e-30,2.922073357481155
120,0.5,-26.5,6.160146317422821e-29,2.852765549230062
120,0.5,-25.0,2.075822726283961e-27,2.781269111795695
120,0.5,-23.5,6.935971725529133e-26,2.7078052069910363
120,0.5,-22.0,2.2325635596680492e-24,2.633070422754694
120,0.5,-20.5,6.973013619235183e-23,2.5572165771755966
120,0.5,-19.0,2.2434900915483683e-21,2.4787805276855606
120,0.5,-17.5,7.628484851661012e-20,2.396130058033535
120,0.5,-16.0,2.5301275096379233e-18,2.310398253759277
120,0.5,-14.5,8.064223657248559e-17,2.222577777711569
120,0.5,-13.0,2.7287149631378477e-15,2.1293709359931725
120,0.5,-11.5,9.10897929850453e-14,2.0311538833485696
120,0.5,-10.0,3.0280026135885526e-12,1.927863670450589
120,0.5,-8.5,1.037879339449792e-10,1.8162551146497607
120,0.5,-7.0,3.54848043416155e-09,1.6961882525563918
120,0.5,-5.5,1.2400293907761727e-07,1.5634916059313961
120,0.5,-4.0,4.49574433143354e-06,1.4130196202362626
120,0.5,-2.5,0.00017311678612380127,1.2332605797091423
120,0.5,-1.0,0.008687774457890833,0.9717877188312302
120,2.0,-35.5,7.95623337356354e-36,101.66127602169298
120,2.0,-34.0,2.399826607107648e-34,93.8371740095267
120,2.0,-32.5,7.189150731957364e-33,86.36565362212886
120,2.0,-31.0,2.1286477380645946e-31,79.25407332318147
120,2.0,-29.5,6.2221717138581426e-30,72.5029748583571
120,2.0,-28.0,1.8100469528454193e-28,66.09414788468143
120,2.0,-26.5,5.3445625591554065e-27,59.98495869068957
120,2.0,-25.0,1.6316112838827705e-25,54.126952474992926
120,2.0,-23.5,5.08816241747759e-24,48.51550021669761
120,2.0,-22.0,1.5457515271900613e-22,43.2231643152533
120,2.0,-20.5,4.461368159200644e-21,38.31657442016483
120,2.0,-19.0,1.2940175034727143e-19,33.724571112029146
120,2.0,-17.5,3.9495019590433635e-18,29.34901402002532
120,2.0,-16.0,1.167586275628936e-16,25.279620138346818
120,2.0,-14.5,3.3349513112725076e-15,21.557050203418584
120,2.0,-13.0,9.9501683977354e-14,18.069949682310547
120,2.0,-11.5,2.83262783603173e-12,14.906434820652613
120,2.0,-10.0,8.206396618060999e-11,12.018682550926462
120,2.0,-8.5,2.3049124826423647e-09,9.433565607798645
120,2.0,-7.0,6.486760814628584e-08,7.131667279362782
120,2.0,-5.5,1.77760304088846e-06,5.131178052455392
120,2.0,-4.0,4.756139402038708e-05,3.426447077239396
120,2.0,-2.5,0.0012396660408347865,2.0134451987261466
120,2.0,-1.0,0.03194477250921378,0.8612393364224927
180,0.5,-35.5,5.716703874157137e-38,3.2271908565120264
180,0.5,-34.0,1.8158513392653068e-36,3.1662204318700278
180,0.5,-32.5,5.622835649478086e-35,3.104838358854286
180,0.5,-31.0,1.781939901862654e-33,3.0421464180699442
180,0.5,-29.5,5.938249587845977e-32,2.9771258785677577
180,0.5,-28.0,1.9772795559366254e-30,2.9101936308293745
180,0.5,-26.5,6.246064715737273e-29,2.8426934216516524
180,0.5,-25.0,1.9773407956278255e-27,2.7739340328430693
180,0.5,-23.5,6.630626972728572e-26,2.7020606357092825
180,0.5,-22.0,2.1650560741386782e-24,2.6282351823782646
180,0.5,-20.5,6.872376460417254e-23,2.5531723255027945
180,0.5,-19.0,2.307291023876233e-21,2.4743491129439463
180,0.5,-17.5,7.482581014905565e-20,2.393179582390429
180,0.5,-16.0,2.46038588926196e-18,2.308939648055546
180,0.5,-14.5,8.183524049244804e-17,2.2204135590920147
180,0.5,-13.0,2.6979225551237378e-15,2.128269354247911
180,0.5,-11.5,9.03859398877596e-14,2.0305493142402766
180,0.5,-10.0,3.045278929311478e-12,1.927088532681809
180,0.5,-8.5,1.0274689442089551e-10,1.8163662458297487
180,0.5,-7.0,3.54862168657174e-09,1.6960102449404888
180,0.5,-5.5,1.2445497115043052e-07,1.5634430384756923
180,0.5,-4.0,4.4916493348853e-06,1.4132381548247555
180,0.5,-2.5,0.0001730272903175745,1.2334773338152913
180,0.5,-1.0,0.008689457730840108,0.9719360354645187
180,2.0,-35.5,7.324244179829691e-36,99.81183605767829
180,2.0,-34.0,2.1645261736333767e-34,92.36369856879108
180,2.0,-32.5,6.347706735427452e-33,85.26383373683225
180,2.0,-31.0,1.9447049271068068e-31,78.3800347183233
180,2.0,-29.5,6.1083894548849164e-30,71.70090061696781
180,2.0,-28.0,1.8334330127059103e-28,65.37545312478824
180,2.0,-26.5,5.349834179168754e-27,59.421128728679
180,2.0,-25.0,1.641062184873951e-25,53.67490287811656
180,2.0,-23.5,5.006208272920192e-24,48.186363585031266
180,2.0,-22.0,1.4565867840898238e-22,43.070805987546606
180,2.0,-20.5,4.428582303482048e-21,38.18089018263331
180,2.0,-19.0,1.3146392345814821e-19,33.58200651669798
180,2.0,-17.5,3.866268421712282e-18,29.295620447259367
180,2.0,-16.0,1.1532407148049714e-16,25.255368717817383
180,2.0,-14.5,3.352289775778235e-15,21.53403905832478
180,2.0,-13.0,9.835363313465645e-14,18.072763152831122
180,2.0,-11.5,2.847126851991238e-12,14.910494571799763
180,2.0,-10.0,8.133325927941832e-11,12.034449298350681
180,2.0,-8.5,2.3166081160625895e-09,9.441777508532562
180,2.0,-7.0,6.48383289746888e-08,7.143774634891157
180,2.0,-5.5,1.7789049598904245e-06,5.140192919526026
180,2.0,-4.0,4.7639132432193124e-05,3.4326493705413306
180,2.0,-2.5,0.0012414534315491352,2.0172668295396328
180,2.0,-1.0,0.03201171185739554,0.8625222343942159
