n,t,lambda,mu,ell
300,1.000000000000000e-01,1.077892105671757e-01,1.698385321770193e-02,9.080535734947399e-01
300,3.162277660168379e-02,3.991577054431489e-02,4.812604564137265e-03,1.110059575802981e+00
300,1.000000000000000e-02,1.431255175108789e-02,1.423005932504054e-03,1.288954581858398e+00
300,3.162277660168379e-03,5.032456329838958e-03,4.312190843883203e-04,1.455038975042270e+00
300,1.000000000000000e-03,1.746015912148183e-03,1.324652313178622e-04,1.613550680830267e+00
300,3.162277660168379e-04,5.998421160613278e-04,4.101440034995514e-05,1.767168401277292e+00
300,1.000000000000000e-04,2.044943504489286e-04,1.276303973358098e-05,1.917313107156570e+00
300,3.162277660168380e-05,6.928051304936982e-05,3.982638205298862e-06,2.064900108766820e+00
300,1.000000000000000e-05,2.334995136859599e-05,1.244807825861845e-06,2.210514354280611e+00
300,3.162277660168379e-06,7.835120672305223e-06,3.900530387951717e-07,2.354337105576433e+00
300,1.000000000000000e-06,2.619055471810356e-06,1.223774594665669e-07,2.496678012322983e+00
300,3.162277660168379e-07,8.725794398759514e-07,3.837168121214595e-08,2.637996558678586e+00
300,1.000000000000000e-07,2.898689918589316e-07,1.206053468490910e-08,2.778084574407857e+00
300,3.162277660168379e-08,9.604105607185441e-08,3.794358276109890e-09,2.917096715307708e+00
300,1.000000000000000e-08,3.174741161565266e-08,1.191272136092136e-09,3.055613928941588e+00
300,3.162277660168380e-09,1.047263112305360e-08,3.753982918169052e-10,3.193025404814724e+00
300,1.000000000000000e-09,3.447953529171652e-09,1.181856740541950e-10,3.329768102343083e+00
300,3.162277660168380e-10,1.133271824807315e-09,3.714726160155409e-11,3.466250246127097e+00
300,1.000000000000000e-10,3.718880212778844e-10,1.173575056963605e-11,3.601524070787598e+00
300,3.162277660168379e-11,1.218575431689869e-10,3.688406317947003e-12,3.736831051276366e+00
300,9.999999999999999e-12,3.987779800943558e-11,1.163565208607910e-12,3.871427758730112e+00
300,3.162277660168379e-12,1.303307491146407e-11,3.672889175354162e-13,4.005264581804282e+00
300,1.000000000000000e-12,4.254834189920729e-12,1.153762172871750e-13,4.139459612075820e+00
600,1.000000000000000e-01,1.078192772571755e-01,1.698917394035741e-02,9.083010331681941e-01
600,3.162277660168379e-02,3.992736646441686e-02,4.814252507741363e-03,1.110374158441440e+00
600,1.000000000000000e-02,1.431677416984692e-02,1.423488016212228e-03,1.289328615363470e+00
600,3.162277660168379e-03,5.033953690700073e-03,4.313480134826674e-04,1.455471711162840e+00
600,1.000000000000000e-03,1.746536278073237e-03,1.325109848661006e-04,1.614025293207165e+00
600,3.162277660168379e-04,6.000183538269797e-04,4.102849354467257e-05,1.767681147431670e+00
600,1.000000000000000e-04,2.045536994013441e-04,1.276417213313510e-05,1.917895272684011e+00
600,3.162277660168380e-05,6.930065990722613e-05,3.983170758104367e-06,2.065520367537159e+00
600,1.000000000000000e-05,2.335653063442591e-05,1.245500263071768e-06,2.211103037131545e+00
600,3.162277660168379e-06,7.837215621989437e-06,3.900466608753238e-07,2.355001603775087e+00
600,1.000000000000000e-06,2.619764351699080e-06,1.223197080499164e-07,2.497444643653230e+00
600,3.162277660168379e-07,8.728084455716110e-07,3.840245433830273e-08,2.638623425783667e+00
600,1.000000000000000e-07,2.899370212037516e-07,1.206221520853469e-08,2.778748058531745e+00
600,3.162277660168379e-08,9.606400622006358e-08,3.790342808669800e-09,2.917949441812416e+00
600,1.000000000000000e-08,3.175467382925541e-08,1.192314267679079e-09,3.056235968174332e+00
600,3.162277660168380e-09,1.047468964489307e-08,3.753013117000303e-10,3.193707034374502e+00
600,1.000000000000000e-09,3.448652509201772e-09,1.180868987096103e-10,3.330565482316402e+00
600,3.162277660168380e-10,1.133469342083503e-09,3.717606331578984e-11,3.466784308191911e+00
600,1.000000000000000e-10,3.719471611503985e-10,1.171811966734617e-11,3.602289409833745e+00
600,3.162277660168379e-11,1.218763372054680e-10,3.691168999385354e-12,3.737334788386506e+00
600,9.999999999999999e-12,3.988216945369678e-11,1.162493938259133e-12,3.871964396923651e+00
600,3.162277660168379e-12,1.303424899094101e-11,3.667373320143923e-13,4.005946314852245e+00
600,1.000000000000000e-12,4.254816052384152e-12,1.155514819685212e-13,4.139597781977791e+00
1200,1.000000000000000e-01,1.078339103206301e-01,1.699266261188621e-02,9.084124770874483e-01
1200,3.162277660168379e-02,3.993303248260977e-02,4.815166134179639e-03,1.110524442264091e+00
1200,1.000000000000000e-02,1.431885504951836e-02,1.423731803505815e-03,1.289512324601163e+00
1200,3.162277660168379e-03,5.034695710179195e-03,4.314187298836030e-04,1.455683995835573e+00
1200,1.000000000000000e-03,1.746795320087903e-03,1.325334729831971e-04,1.614261847104777e+00
1200,3.162277660168379e-04,6.001073016490356e-04,4.103516296952253e-05,1.767941334569239e+00
1200,1.000000000000000e-04,2.045839471747476e-04,1.276567650389898e-05,1.918182706710635e+00
1200,3.162277660168380e-05,6.931091318010212e-05,3.983494401288036e-06,2.065834370003135e+00
1200,1.000000000000000e-05,2.335998138178908e-05,1.245679604488288e-06,2.211430177758233e+00
1200,3.162277660168379e-06,7.838355014851867e-06,3.901408265841453e-07,2.355332133483714e+00
1200,1.000000000000000e-06,2.620135761457353e-06,1.223358940963559e-07,2.497799867198379e+00
1200,3.162277660168379e-07,8.729314137152618e-07,3.839806024624205e-08,2.639026179898095e+00
1200,1.000000000000000e-07,2.899781403770408e-07,1.206215990758615e-08,2.779159804805516e+00
1200,3.162277660168379e-08,9.607725095108610e-08,3.791724964540256e-09,2.918324581630579e+00
1200,1.000000000000000e-08,3.175882969584853e-08,1.192520075930018e-09,3.056631007442434e+00
1200,3.162277660168380e-09,1.047605205395482e-08,3.751943308063019e-10,3.194171631624259e+00
1200,1.000000000000000e-09,3.449101461130693e-09,1.180925408135095e-10,3.331009040386380e+00
1200,3.162277660168380e-10,1.133608107830453e-09,3.718794096181855e-11,3.467185811781499e+00
1200,1.000000000000000e-10,3.719908434646568e-10,1.171520667493408e-11,3.602756617603668e+00
1200,3.162277660168379e-11,1.218905375568702e-10,3.691013711639942e-12,3.737796191675075e+00
1200,9.999999999999999e-12,3.988633650792233e-11,1.162945130896972e-12,3.872355999286264e+00
1200,3.162277660168379e-12,1.303631800070275e-11,3.665538917241093e-13,4.006428234483142e+00
1200,1.000000000000000e-12,4.255465435350393e-12,1.155298102247795e-13,4.140068654557668e+00
