n,log10_t,lambda,mu,ell,iterations
120,-3.550000000000000e+01,3.314802343081768e-35,3.924128319567148e-37,1.035823356419526e+01,650
120,-3.400000000000000e+01,1.007911316396623e-33,1.238421031911875e-35,9.955271060775040e+00,650
120,-3.250000000000000e+01,3.060207709775218e-32,3.909803154074313e-34,9.553587644399359e+00,650
120,-3.100000000000000e+01,9.276539056383568e-31,1.227871475956884e-32,9.153751908787878e+00,650
120,-2.950000000000000e+01,2.807203234641438e-29,3.812298793312142e-31,8.756600603379255e+00,650
120,-2.800000000000000e+01,8.479490073838209e-28,1.166915403743185e-29,8.362798533463891e+00,650
120,-2.650000000000000e+01,2.556398308810090e-26,3.547454106356587e-28,7.971860913732335e+00,650
120,-2.500000000000000e+01,7.690727798512781e-25,1.094746619401825e-26,7.581253136572599e+00,650
120,-2.350000000000000e+01,2.307876519778826e-23,3.509648434536715e-25,7.187161532527926e+00,650
120,-2.200000000000000e+01,6.903997226362132e-22,1.156898066730897e-23,6.788307419689043e+00,650
120,-2.050000000000000e+01,2.057892345988292e-20,3.723605831002532e-22,6.389876237403753e+00,650
120,-1.900000000000000e+01,6.111810534630215e-19,1.139940054854287e-20,5.997816529144786e+00,650
120,-1.750000000000000e+01,1.808253645864489e-17,3.538885419352412e-19,5.606290725200159e+00,650
120,-1.600000000000000e+01,5.322668522811119e-16,1.161166877551575e-17,5.206551835055962e+00,650
120,-1.450000000000000e+01,1.557030609792959e-14,3.671341157504126e-16,4.807665112294303e+00,650
120,-1.300000000000000e+01,4.525602580538212e-13,1.143325573887598e-14,4.411270023149452e+00,650
120,-1.150000000000000e+01,1.304146904377758e-11,3.729055791694604e-13,4.006151523055558e+00,650
120,-1.000000000000000e+01,3.719472828040179e-10,1.166197809474181e-11,3.602853047092760e+00,650
120,-8.500000000000000e+00,1.047102275746628e-08,3.785950963101194e-10,3.191505852973952e+00,650
120,-7.000000000000000e+00,2.897472211679773e-07,1.202900734012237e-08,2.777182138278549e+00,650
