OK   | r0 = 0.0886                                   | quoted 0.0886       | computed 0.088638    
OK   | argmax 0.2035                                 | quoted 0.2035       | computed 0.203474    
OK   | r0/pi = 0.0282                                | quoted 0.0282       | computed 0.0282144   
OK   | C0 = 0.378                                    | quoted 0.378        | computed 0.378473    
OK   | log(pi^2 C0/2) = 0.6247                       | quoted 0.6247       | computed 0.624701    
OK   | 7 zeta(3)+pi^4/6 < 25                         | quoted 1            | computed 1           
OK   | sum (2j-1)^-4 = pi^4/96                       | quoted 1.01468      | computed 1.01468     
OK   | e^x <= 1+x+x^2 on [0,1]                       | quoted 1            | computed 1           
OK   | balance pi^2/(2d^2) = l d^2/4                 | quoted 7.85398      | computed 7.85398     
OK   | balance sum = pi sqrt(l/2)                    | quoted 15.708       | computed 15.708      
OK   | l d^4/8 = pi^2/4                              | quoted 2.4674       | computed 2.4674      
OK   | pi^2/8+pi^2/4+pi^2/16 = 7pi^2/16              | quoted 4.31795      | computed 4.31795     
OK   | 23 pi^2/16 < 14.19                            | quoted 1            | computed 1           
OK   | 14.19 < 15                                    | quoted 1            | computed 1           
OK   | delta <= 1 iff l >= 2 pi^2                    | quoted 1            | computed 1           
OK   | 30/pi form: (2/pi)*15 = 30/pi                 | quoted 9.5493       | computed 9.5493      
OK   | (2/pi) pi sqrt(l/2) = sqrt(2l)                | quoted 10           | computed 10          
OK   | 4 pi^2 <= 40                                  | quoted 1            | computed 1           
OK   | 32/3 * 8 < 86                                 | quoted 1            | computed 1           
OK   | gamma trigamma 2pi^4/3 -> 8/3                 | quoted 2.66667      | computed 2.66667     
OK   | sinh pair to 1e-25                            | quoted 1            | computed 1           
OK   | KP relerr 2e-11                               | quoted 2e-11        | computed 1.65e-11    
OK   | leak relerr 6e-6                              | quoted 6e-06        | computed 6.1e-06     
OK   | key identity 2e-8                             | quoted 2e-08        | computed 1.5e-08     
OK   | mu/bound >= 3.6                               | quoted 3.6          | computed 3.63        
OK   | Lemma 4.1(ii) seven digits                    | quoted 0            | computed 0           
OK   | R3.5 mu ratio n=256                           | quoted 0.911        | computed 0.911054    
OK   | R3.5 D ratio n=256                            | quoted 0.956        | computed 0.955822    
OK   | R3.5 bound n=256                              | quoted 0.39         | computed 0.3883      
OK   | R3.5 x n=256                                  | quoted 1.56         | computed 1.5609      
OK   | R3.5 mu ratio n=1024                          | quoted 0.945        | computed 0.944573    
OK   | R3.5 D ratio n=1024                           | quoted 0.984        | computed 0.983735    
OK   | R3.5 bound n=1024                             | quoted 0.51         | computed 0.5061      
OK   | R3.5 x n=1024                                 | quoted 1.75         | computed 1.7494      
OK   | R3.5 mu ratio n=4096                          | quoted 0.967        | computed 0.967089    
OK   | R3.5 D ratio n=4096                           | quoted 0.994        | computed 0.993951    
OK   | R3.5 bound n=4096                             | quoted 0.63         | computed 0.6281      
OK   | R3.5 x n=4096                                 | quoted 1.93         | computed 1.9312      
OK   | R4.5 pi^2 n R n=1024                          | quoted 25.36        | computed 25.3581     
OK   | R4.5 pi^2 n R n=4096                          | quoted 27.58        | computed 27.5828     
OK   | R4.5 pi^2 n R n=16384                         | quoted 29.63        | computed 29.628      
OK   | R4.5 pi^2 n R n=65536                         | quoted 31.55        | computed 31.5499     
OK   | R4.5 pi^2 n R n=262144                        | quoted 33.39        | computed 33.3928     
OK   | R4.5 pi^2 n lam 2^10 = 17.27                  | quoted 17.27        | computed 17.2657     
OK   | R4.5 pi^2 n lam 2^18 = 24.24                  | quoted 24.24        | computed 24.2388     
OK   | R4.5 bound 2^10 = 27.78                       | quoted 27.78        | computed 27.78       
OK   | R4.5 bound 2^18 = 35.32                       | quoted 35.32        | computed 35.3233     
OK   | R4.5 delta min 1.12                           | quoted 1.12         | computed 1.122       
OK   | R4.5 delta max 1.30                           | quoted 1.3          | computed 1.299       
OK   | Concl packets exceed min 38%                  | quoted 38           | computed 37.7659     
OK   | Concl packets exceed max 47%                  | quoted 47           | computed 46.8698     
OK   | R4.5 best packet n=1024 13%                   | quoted 13           | computed 12.87       
OK   | R4.5 best packet n=16384 12%                  | quoted 12           | computed 12.03       
OK   | R4.5 best packet n=262144 11%                 | quoted 11           | computed 11.2        
OK   | loc: 30 cases                                 | quoted 30           | computed 30          
OK   | loc: max ratio 0.054                          | quoted 0.054        | computed 0.0542      
OK   | loc: 30 cases theta>0 in [0.3,0.95]           | quoted 1            | computed 1           
OK   | Table1 a=1/2 s~2.0 (at 2.00)                  | quoted 7.67         | computed 7.674       
OK   | Table1 a=1/2 s~2.0 location                   | quoted 2            | computed 1.9972      
OK   | Table1 a=1/2 s~4.5 (at 4.53)                  | quoted 8.64         | computed 8.641       
OK   | Table1 a=1/2 s~4.5 location                   | quoted 4.5          | computed 4.5295      
OK   | Table1 a=1/2 s~6.9 (at 6.91)                  | quoted 8.89         | computed 8.89        
OK   | Table1 a=1/2 s~6.9 location                   | quoted 6.9          | computed 6.9076      
OK   | Table1 a=1/2 s~9.3 (at 9.25)                  | quoted 8.96         | computed 8.959       
OK   | Table1 a=1/2 s~9.3 location                   | quoted 9.3          | computed 9.2547      
OK   | Table1 a=1 s~2.1 (at 2.14)                    | quoted 7.98         | computed 7.982       
OK   | Table1 a=1 s~2.1 location                     | quoted 2.1          | computed 2.1355      
OK   | Table1 a=1 s~4.6 (at 4.60)                    | quoted 8.72         | computed 8.722       
OK   | Table1 a=1 s~4.6 location                     | quoted 4.6          | computed 4.604       
OK   | Table1 a=1 s~7.0 (at 6.95)                    | quoted 8.96         | computed 8.961       
OK   | Table1 a=1 s~7.0 location                     | quoted 7            | computed 6.9505      
OK   | Table1 a=1 s~9.6 (at 9.64)                    | quoted 9            | computed 9           
OK   | Table1 a=1 s~9.6 location                     | quoted 9.6          | computed 9.638       
OK   | Table1 a=2 s~2.7 (at 2.67)                    | quoted 8.17         | computed 8.166       
OK   | Table1 a=2 s~2.7 location                     | quoted 2.7          | computed 2.6728      
OK   | Table1 a=2 s~5.0 (at 5.03)                    | quoted 8.75         | computed 8.752       
OK   | Table1 a=2 s~5.0 location                     | quoted 5            | computed 5.0255      
OK   | Table1 a=2 s~7.3 (at 7.33)                    | quoted 8.89         | computed 8.885       
OK   | Table1 a=2 s~7.3 location                     | quoted 7.3          | computed 7.3263      
OK   | Table1 a=2 s~9.6 (at 9.61)                    | quoted 8.97         | computed 8.967       
OK   | Table1 a=2 s~9.6 location                     | quoted 9.6          | computed 9.6106      
OK   | Table1 all slopes < pi^2                      | quoted 1            | computed 1           
OK   | Table2 gap n=256                              | quoted 1.7686       | computed 1.76864     
OK   | Table2 n lam n=256                            | quoted 1.5609       | computed 1.5609      
OK   | Table2 Legendre n=256                         | quoted 1.5592       | computed 1.55915     
